"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419190","3.12.1.3","44200","B","","","0"
"2019","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419190","3.12.1.3","46400","C","","","0"
"2020","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419190","3.12.1.3","49200","B","","","0"
"2021","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419190","3.12.1.3","54100","C","","","0"
"2022","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419190","3.12.1.3","46100","B","","","0"
"2023","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96419190","3.12.1.3","47600","B","","","0"
"2015","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419191","3.12.1.4","29800","C","","","0"
"2016","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419191","3.12.1.4","33900","D","","","0"
"2017","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419191","3.12.1.4","30900","C","","","0"
"2018","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419191","3.12.1.4","32600","C","","","0"
"2019","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419191","3.12.1.4","36600","D","","","0"
"2020","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419191","3.12.1.4","41800","C","","","0"
"2021","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419191","3.12.1.4","42900","C","","","0"
"2022","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419191","3.12.1.4","35700","B","","","0"
"2023","Newfoundland and Labrador","2021A000210","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96419191","3.12.1.4","35700","B","","","0"


