"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-10","Newfoundland and Labrador","2016A000210","Housing starts","Single-detached","Unadjusted","Units","300","units","0","v730443","3.1.2.1","304","","","","0"
"2015-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","135","","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","67","","","","0"
"2015-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","105","","","","0"
"2015-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","119","","","","0"
"2016-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","35","","","","0"
"2016-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","80","","","","0"
"2016-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","77","","","","0"
"2016-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","98","","","","0"
"2017-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","47","","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","95","","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","147","","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","206","","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","116","","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","29","","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","112","","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","60","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","17","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","54","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","78","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","110","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","21","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","21","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","66","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","49","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","34","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","57","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","52","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","137","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","53","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","49","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","128","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","143","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","18","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","41","","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","128","","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","103","","","","0"
"2024-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","105","","","","0"
"2024-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","93","","","","0"
"2024-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","206","","","","0"
"2024-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","193","","","","0"
"2025-01","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","69","","","","0"
"2025-04","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","189","","","","0"
"2025-07","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","126","","","","0"
"2025-10","Newfoundland and Labrador","2016A000210","Housing starts","Multiples","Unadjusted","Units","300","units","0","v730487","3.1.4.1","163","","","","0"
"2015-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","4","","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","12","","","","0"
"2015-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","24","","","","0"
"2015-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","20","","","","0"
"2016-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","10","","","","0"
"2016-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","32","","","","0"
"2016-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","42","","","","0"
"2016-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","33","","","","0"
"2017-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","24","","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","20","","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","49","","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","72","","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","6","","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","12","","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","35","","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","20","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","10","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","14","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","22","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","42","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","6","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","10","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","20","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","26","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","15","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","16","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","24","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","26","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","24","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","8","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","14","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","20","","","","0"
"2023-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","0","","","","0"
"2023-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","10","","","","0"
"2023-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","50","","","","0"
"2023-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","12","","","","0"
"2024-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","12","","","","0"
"2024-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","20","","","","0"
"2024-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","32","","","","0"
"2024-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","38","","","","0"
"2025-01","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","16","","","","0"
"2025-04","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","24","","","","0"
"2025-07","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","18","","","","0"
"2025-10","Newfoundland and Labrador","2016A000210","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730454","3.1.3.1","16","","","","0"
"2015-01","Newfoundland and Labrador","2016A000210","Housing starts","Row","Unadjusted","Units","300","units","0","v730465","3.1.5.1","0","","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Housing starts","Row","Unadjusted","Units","300","units","0","v730465","3.1.5.1","23","","","","0"
"2015-07","Newfoundland and Labrador","2016A000210","Housing starts","Row","Unadjusted","Units","300","units","0","v730465","3.1.5.1","19","","","","0"
"2015-10","Newfoundland and Labrador","2016A000210","Housing starts","Row","Unadjusted","Units","300","units","0","v730465","3.1.5.1","18","","","","0"
"2016-01","Newfoundland and Labrador","2016A000210","Housing starts","Row","Unadjusted","Units","300","units","0","v730465","3.1.5.1","0","","","","0"
"2016-04","Newfoundland and Labrador","2016A000210","Housing starts","Row","Unadjusted","Units","300","units","0","v730465","3.1.5.1","13","","","","0"
