"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420868","5.12.1.1","194","A","","","0"
"2015","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420869","5.12.1.2","7123","C","","","0"
"2016","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420869","5.12.1.2","6981","B","","","0"
"2017","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420869","5.12.1.2","7730","B","","","0"
"2018","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420869","5.12.1.2","7700","B","","","0"
"2019","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420869","5.12.1.2","7609","B","","","0"
"2020","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420869","5.12.1.2","8481","B","","","0"
"2021","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420869","5.12.1.2","8680","B","","","0"
"2022","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420869","5.12.1.2","8623","A","","","0"
"2023","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420869","5.12.1.2","9407","B","","","0"
"2015","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420870","5.12.1.3","44300","C","","","0"
"2016","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420870","5.12.1.3","42600","B","","","0"
"2017","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420870","5.12.1.3","45900","B","","","0"
"2018","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420870","5.12.1.3","44800","B","","","0"
"2019","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420870","5.12.1.3","43400","B","","","0"
"2020","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420870","5.12.1.3","47800","B","","","0"
"2021","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420870","5.12.1.3","48200","B","","","0"
"2022","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420870","5.12.1.3","46300","A","","","0"
"2023","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420870","5.12.1.3","48500","B","","","0"
"2015","Nova Scotia","2021A000212","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420871","5.12.1.4","33500","C","","","0"
