"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Lethbridge (CMA), Alberta","2016S0503810","Both sexes","All ages","Persons","249","units","0","v1060810111","118.1.1","126927","","","","0"
"2020","Lethbridge (CMA), Alberta","2016S0503810","Both sexes","All ages","Persons","249","units","0","v1060810111","118.1.1","128795","","","","0"
"2021","Lethbridge (CMA), Alberta","2016S0503810","Both sexes","All ages","Persons","249","units","0","v1060810111","118.1.1","130088","","","","0"
"2022","Lethbridge (CMA), Alberta","2016S0503810","Both sexes","All ages","Persons","249","units","0","v1060810111","118.1.1","133064","","","","0"
"2018","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1483528","","","","0"
"2019","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1514426","","","","0"
"2020","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1542956","","","","0"
"2021","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1558588","","","","0"
"2022","Calgary (CMA), Alberta","2016S0503825","Both sexes","All ages","Persons","249","units","0","v1060811101","121.1.1","1608342","","","","0"
"2018","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1415351","","","","0"
"2019","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1442835","","","","0"
"2020","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1467219","","","","0"
"2021","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1480159","","","","0"
"2022","Edmonton (CMA), Alberta","2016S0503835","Both sexes","All ages","Persons","249","units","0","v1060813411","128.1.1","1516719","","","","0"
"2018","Kelowna (CMA), British Columbia","2016S0503915","Both sexes","All ages","Persons","249","units","0","v1060816051","136.1.1","213831","","","","0"
"2019","Kelowna (CMA), British Columbia","2016S0503915","Both sexes","All ages","Persons","249","units","0","v1060816051","136.1.1","218600","","","","0"
"2020","Kelowna (CMA), British Columbia","2016S0503915","Both sexes","All ages","Persons","249","units","0","v1060816051","136.1.1","223529","","","","0"
"2021","Kelowna (CMA), British Columbia","2016S0503915","Both sexes","All ages","Persons","249","units","0","v1060816051","136.1.1","229003","","","","0"
"2022","Kelowna (CMA), British Columbia","2016S0503915","Both sexes","All ages","Persons","249","units","0","v1060816051","136.1.1","235473","","","","0"
"2018","Abbotsford - Mission (CMA), British Columbia","2016S0503932","Both sexes","All ages","Persons","249","units","0","v1060817701","141.1.1","198060","","","","0"
"2019","Abbotsford - Mission (CMA), British Columbia","2016S0503932","Both sexes","All ages","Persons","249","units","0","v1060817701","141.1.1","202497","","","","0"
"2020","Abbotsford - Mission (CMA), British Columbia","2016S0503932","Both sexes","All ages","Persons","249","units","0","v1060817701","141.1.1","203907","","","","0"
"2021","Abbotsford - Mission (CMA), British Columbia","2016S0503932","Both sexes","All ages","Persons","249","units","0","v1060817701","141.1.1","205834","","","","0"
"2022","Abbotsford - Mission (CMA), British Columbia","2016S0503932","Both sexes","All ages","Persons","249","units","0","v1060817701","141.1.1","208961","","","","0"
