"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","New Brunswick","2021A000213","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421710","6.12.1.3","44200","B","","","0"
"2018","New Brunswick","2021A000213","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421710","6.12.1.3","43400","B","","","0"
"2019","New Brunswick","2021A000213","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421710","6.12.1.3","44700","B","","","0"
"2020","New Brunswick","2021A000213","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421710","6.12.1.3","45100","B","","","0"
"2021","New Brunswick","2021A000213","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421710","6.12.1.3","47900","B","","","0"
"2022","New Brunswick","2021A000213","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421710","6.12.1.3","46300","A","","","0"
"2023","New Brunswick","2021A000213","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96421710","6.12.1.3","46100","A","","","0"
"2015","New Brunswick","2021A000213","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421711","6.12.1.4","32000","C","","","0"
"2016","New Brunswick","2021A000213","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421711","6.12.1.4","33000","C","","","0"
"2017","New Brunswick","2021A000213","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421711","6.12.1.4","35500","C","","","0"
"2018","New Brunswick","2021A000213","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421711","6.12.1.4","32900","C","","","0"
"2019","New Brunswick","2021A000213","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421711","6.12.1.4","36700","C","","","0"
"2020","New Brunswick","2021A000213","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421711","6.12.1.4","37200","B","","","0"
"2021","New Brunswick","2021A000213","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421711","6.12.1.4","40100","B","","","0"
"2022","New Brunswick","2021A000213","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421711","6.12.1.4","38500","B","","","0"
"2023","New Brunswick","2021A000213","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96421711","6.12.1.4","38900","B","","","0"


