"REF_DATE","GEO","DGUID","Economic family type","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420028","4.12.1.1","25","A","","","0"
"2020","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420028","4.12.1.1","26","A","","","0"
"2021","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420028","4.12.1.1","27","A","","","0"
"2022","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420028","4.12.1.1","28","A","","","0"
"2023","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Number with income","Number","223","thousands","3","v96420028","4.12.1.1","29","A","","","0"
"2015","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420029","4.12.1.2","866","C","","","0"
"2016","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420029","4.12.1.2","965","C","","","0"
"2017","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420029","4.12.1.2","954","C","","","0"
"2018","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420029","4.12.1.2","1021","B","","","0"
"2019","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420029","4.12.1.2","1165","C","","","0"
"2020","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420029","4.12.1.2","1193","B","","","0"
"2021","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420029","4.12.1.2","1277","C","","","0"
"2022","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420029","4.12.1.2","1255","B","","","0"
"2023","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Aggregate income","2023 constant dollars","449","millions","6","v96420029","4.12.1.2","1321","B","","","0"
"2015","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420030","4.12.1.3","39000","C","","","0"
"2016","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420030","4.12.1.3","42000","C","","","0"
"2017","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420030","4.12.1.3","39900","C","","","0"
"2018","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420030","4.12.1.3","41400","B","","","0"
"2019","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420030","4.12.1.3","46000","C","","","0"
"2020","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420030","4.12.1.3","46100","B","","","0"
"2021","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420030","4.12.1.3","47800","C","","","0"
"2022","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420030","4.12.1.3","45300","B","","","0"
"2023","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Average income excluding zeros","2023 constant dollars","449","units","0","v96420030","4.12.1.3","45200","B","","","0"
"2015","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420031","4.12.1.4","33700","C","","","0"
"2016","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420031","4.12.1.4","34400","C","","","0"
"2017","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420031","4.12.1.4","32400","C","","","0"
"2018","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420031","4.12.1.4","32300","C","","","0"
"2019","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420031","4.12.1.4","36100","C","","","0"
"2020","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420031","4.12.1.4","38400","C","","","0"
"2021","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420031","4.12.1.4","39300","C","","","0"
"2022","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420031","4.12.1.4","40000","B","","","0"
"2023","Prince Edward Island","2021A000211","Persons not in an economic family","Total income","Median income excluding zeros","2023 constant dollars","449","units","0","v96420031","4.12.1.4","37900","B","","","0"


