"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","70","","","","0"
"2018-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","74","","","","0"
"2018-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","54","","","","0"
"2019-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","8","","","","0"
"2019-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","74","","","","0"
"2019-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","82","","","","0"
"2019-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","44","","","","0"
"2020-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","16","","","","0"
"2020-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","78","","","","0"
"2020-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","82","","","","0"
"2020-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","90","","","","0"
"2021-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","12","","","","0"
"2021-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","152","","","","0"
"2021-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","70","","","","0"
"2021-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","64","","","","0"
"2022-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","12","","","","0"
"2022-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","78","","","","0"
"2022-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","50","","","","0"
"2022-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","28","","","","0"
"2023-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","4","","","","0"
"2023-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","70","","","","0"
"2023-07","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","68","","","","0"
"2023-10","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","60","","","","0"
"2024-01","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","22","","","","0"
"2024-04","New Brunswick","2016A000213","Housing starts","Semi-detached","Unadjusted","Units","300","units","0","v730458","6.1.3.1","133","","","","0"
