"REF_DATE","GEO","DGUID","Components of population growth","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","311671","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","310666","","","","0"
"2020/2021","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","301825","","","","0"
"2021/2022","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","303490","","","","0"
"2022/2023","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","294887","","","","0"
"2023/2024","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","304274","","","","0"
"2024/2025","All census metropolitan areas and census agglomerations, Canada","","Births","Total - gender","All ages","Persons","249","units","0","v1590626301","2.1.1.1","310842","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","208155","","","","0"
"2016/2017","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","218881","","","","0"
"2017/2018","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","227037","","","","0"
"2018/2019","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","226344","","","","0"
"2019/2020","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","239136","","","","0"
"2020/2021","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","247178","","","","0"
"2021/2022","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","257599","","","","0"
"2022/2023","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","264870","","","","0"
"2023/2024","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","263229","","","","0"
"2024/2025","All census metropolitan areas and census agglomerations, Canada","","Deaths","Total - gender","All ages","Persons","249","units","0","v1590626643","2.2.1.1","266692","","","","0"
"2015/2016","All census metropolitan areas and census agglomerations, Canada","","Immigrants","Total - gender","All ages","Persons","249","units","0","v1590626985","2.3.1.1","310051","","","","0"
