"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","172585","","","","0"
"2025","Trois-Rivières (CMA), Quebec","2021S0503442","Total - gender","All ages","Persons","249","units","0","v1589875617","12.1.1","174316","","","","0"
"2015","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","96506","","","","0"
"2016","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","97549","","","","0"
"2017","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","98582","","","","0"
"2018","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","99326","","","","0"
"2019","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","100012","","","","0"
"2020","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","100909","","","","0"
"2021","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","102356","","","","0"
"2022","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","103827","","","","0"
"2023","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","105919","","","","0"
"2024","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","107895","","","","0"
"2025","Drummondville (CMA), Quebec","2021S0503447","Total - gender","All ages","Persons","249","units","0","v1589876307","13.1.1","109151","","","","0"
"2015","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4115763","","","","0"
"2016","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4146025","","","","0"
"2017","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4193413","","","","0"
"2018","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4261700","","","","0"
"2019","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4327976","","","","0"
"2020","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4356853","","","","0"
"2021","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4330143","","","","0"
"2022","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4372296","","","","0"
"2023","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4465221","","","","0"
"2024","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4572813","","","","0"
"2025","Montréal (CMA), Quebec","2021S0503462","Total - gender","All ages","Persons","249","units","0","v1589878032","14.1.1","4597837","","","","0"
